Link Text,URL
Pull requests0,/TheM1N9/skypiea/pulls
Actions,/TheM1N9/skypiea/actions
Projects0,/TheM1N9/skypiea/projects
Security,/TheM1N9/skypiea/security
Insights,/TheM1N9/skypiea/pulse
Code,/TheM1N9/skypiea
Issues,/TheM1N9/skypiea/issues
Pull requests,/TheM1N9/skypiea/pulls
Actions,/TheM1N9/skypiea/actions
Projects,/TheM1N9/skypiea/projects
Security,/TheM1N9/skypiea/security
Insights,/TheM1N9/skypiea/pulse
Branches,/TheM1N9/skypiea/branches
Tags,/TheM1N9/skypiea/tags
,/TheM1N9/skypiea/branches
,/TheM1N9/skypiea/tags
1 Commit,/TheM1N9/skypiea/commits/main/
,/TheM1N9/skypiea/commits/main/
static,/TheM1N9/skypiea/tree/main/static
static,/TheM1N9/skypiea/tree/main/static
templates,/TheM1N9/skypiea/tree/main/templates
templates,/TheM1N9/skypiea/tree/main/templates
.gitignore,/TheM1N9/skypiea/blob/main/.gitignore
.gitignore,/TheM1N9/skypiea/blob/main/.gitignore
README.md,/TheM1N9/skypiea/blob/main/README.md
README.md,/TheM1N9/skypiea/blob/main/README.md
app.py,/TheM1N9/skypiea/blob/main/app.py
app.py,/TheM1N9/skypiea/blob/main/app.py
database.py,/TheM1N9/skypiea/blob/main/database.py
database.py,/TheM1N9/skypiea/blob/main/database.py
requirements.txt,/TheM1N9/skypiea/blob/main/requirements.txt
requirements.txt,/TheM1N9/skypiea/blob/main/requirements.txt
README,#
,#skypiea-cloud-storage
,#features
,#technologies
,#installation
,#directory-structure
,#face-detection-and-embeddings
,#troubleshooting
,#contributing
python,/topics/python
machine-learning,/topics/machine-learning
cloud,/topics/cloud
vector,/topics/vector
localstorage,/topics/localstorage
face-recognition,/topics/face-recognition
face-detection,/topics/face-detection
vector-database,/topics/vector-database
chromadb,/topics/chromadb
Readme,#readme-ov-file
Activity,/TheM1N9/skypiea/activity
1star,/TheM1N9/skypiea/stargazers
1watching,/TheM1N9/skypiea/watchers
0forks,/TheM1N9/skypiea/forks
Report repository,/contact/report-content?content_url=https%3A%2F%2Fgithub.com%2FTheM1N9%2Fskypiea&report=TheM1N9+%28user%29
Releases,/TheM1N9/skypiea/releases
Packages0,/users/TheM1N9/packages?repo_name=skypiea
Python59.6%,/TheM1N9/skypiea/search?l=python
JavaScript22.7%,/TheM1N9/skypiea/search?l=javascript
CSS9.2%,/TheM1N9/skypiea/search?l=css
HTML8.5%,/TheM1N9/skypiea/search?l=html
,https://github.com
Terms,https://docs.github.com/site-policy/github-terms/github-terms-of-service
Privacy,https://docs.github.com/site-policy/privacy-policies/github-privacy-statement
Security,https://github.com/security
Status,https://www.githubstatus.com/
Docs,https://docs.github.com/
Contact,https://support.github.com?tags=dotcom-footer
